date,year,month,energy_index,food_index,fertilizers_index,metals_minerals_index,precious_metals_index,analysis_period
1999-10-01,1999,10,29.6,47.1,31.5,36.3,25.7,False
1999-11-01,1999,11,31.9,46.3,31.1,36.6,24.3,False
1999-12-01,1999,12,33.1,45.9,31.3,37.9,23.7,False
2000-01-01,2000,1,33.3,47.4,32.8,40.1,23.8,True
2000-02-01,2000,2,36.1,47.9,34.6,40.0,25.0,True
2000-03-01,2000,3,36.1,47.3,34.4,38.8,23.9,True
2000-04-01,2000,4,31.3,48.0,33.6,36.8,23.5,True
2000-05-01,2000,5,37.1,47.5,34.7,37.7,23.2,True
2000-06-01,2000,6,40.5,46.5,36.7,37.3,24.0,True
2000-07-01,2000,7,39.1,44.9,39.2,38.2,23.7,True
2000-08-01,2000,8,40.6,45.2,41.0,38.0,23.2,True
2000-09-01,2000,9,45.0,46.1,38.2,39.9,23.2,True
2000-10-01,2000,10,43.3,46.4,37.8,37.7,22.9,True
2000-11-01,2000,11,45.7,46.9,35.4,36.6,22.5,True
2000-12-01,2000,12,42.5,48.6,34.9,38.0,22.8,True
2001-01-01,2001,1,42.2,48.6,38.5,38.3,22.5,True
2001-02-01,2001,2,40.7,48.1,36.2,37.9,22.1,True
2001-03-01,2001,3,36.9,47.8,35.3,36.4,22.0,True
2001-04-01,2001,4,38.2,47.2,34.8,35.8,21.9,True
2001-05-01,2001,5,39.9,47.8,33.1,36.6,22.7,True
2001-06-01,2001,6,38.5,48.3,33.3,35.1,22.5,True
2001-07-01,2001,7,34.0,52.1,33.4,33.7,22.1,True
2001-08-01,2001,8,35.0,51.8,33.7,32.7,22.2,True
2001-09-01,2001,9,33.8,49.4,34.4,31.8,23.0,True
2001-10-01,2001,10,28.6,46.8,34.7,30.6,23.0,True
2001-11-01,2001,11,26.7,48.4,35.0,31.6,22.3,True
2001-12-01,2001,12,26.2,48.5,35.8,32.1,22.6,True
2002-01-01,2002,1,26.8,48.8,36.2,32.8,23.1,True
2002-02-01,2002,2,27.7,48.1,35.9,33.0,23.9,True
2002-03-01,2002,3,32.2,48.9,34.6,34.0,24.0,True
2002-04-01,2002,4,34.7,48.5,33.5,33.6,24.6,True
2002-05-01,2002,5,34.5,49.5,33.8,33.2,25.5,True
2002-06-01,2002,6,32.8,51.2,34.4,33.7,26.1,True
2002-07-01,2002,7,34.2,52.6,34.6,33.3,25.6,True
2002-08-01,2002,8,35.2,53.3,36.5,31.8,25.1,True
2002-09-01,2002,9,37.7,55.1,34.9,31.9,25.7,True
2002-10-01,2002,10,37.8,55.1,34.6,32.2,25.4,True
2002-11-01,2002,11,34.2,54.7,34.6,33.7,25.7,True
2002-12-01,2002,12,39.7,55.8,35.5,33.8,26.6,True
2003-01-01,2003,1,43.6,55.7,37.2,34.7,28.5,True
2003-02-01,2003,2,48.3,55.2,40.5,35.7,28.6,True
2003-03-01,2003,3,43.4,54.9,41.9,35.1,27.3,True
2003-04-01,2003,4,37.0,54.3,39.1,33.8,26.3,True
2003-05-01,2003,5,38.6,54.2,40.5,35.1,28.4,True
2003-06-01,2003,6,40.4,54.0,41.4,35.7,28.2,True
2003-07-01,2003,7,40.3,52.8,42.9,36.2,28.2,True
2003-08-01,2003,8,41.7,53.9,42.6,36.9,28.9,True
2003-09-01,2003,9,38.4,55.5,43.6,36.8,30.4,True
2003-10-01,2003,10,41.1,59.7,44.7,38.8,30.3,True
2003-11-01,2003,11,40.2,62.2,45.1,40.4,31.2,True
2003-12-01,2003,12,43.8,61.9,45.9,42.7,32.8,True
2004-01-01,2004,1,45.2,63.9,46.5,45.9,33.9,True
2004-02-01,2004,2,44.1,66.2,43.2,48.7,33.5,True
2004-03-01,2004,3,47.6,69.8,42.6,49.3,34.5,True
2004-04-01,2004,4,47.8,69.1,42.3,49.4,34.1,True
2004-05-01,2004,5,53.6,66.5,43.4,46.5,31.5,True
2004-06-01,2004,6,50.8,64.2,46.6,47.8,32.1,True
2004-07-01,2004,7,54.0,62.6,51.2,49.3,32.9,True
2004-08-01,2004,8,58.1,61.1,53.8,48.8,33.4,True
2004-09-01,2004,9,58.1,60.8,58.0,49.3,33.5,True
2004-10-01,2004,10,66.8,59.7,61.6,51.6,35.1,True
2004-11-01,2004,11,59.1,59.4,59.6,52.1,36.7,True
2004-12-01,2004,12,56.1,59.8,54.3,52.7,36.5,True
2005-01-01,2005,1,60.8,60.0,54.2,56.4,34.9,True
2005-02-01,2005,2,62.0,62.1,54.3,57.9,35.3,True
2005-03-01,2005,3,71.1,65.3,58.8,60.2,36.1,True
2005-04-01,2005,4,70.3,63.3,62.4,59.1,35.7,True
2005-05-01,2005,5,66.0,62.7,64.4,56.6,35.2,True
2005-06-01,2005,6,72.9,62.4,58.8,57.6,36.0,True
2005-07-01,2005,7,77.2,61.9,59.5,57.8,35.3,True
2005-08-01,2005,8,86.8,61.0,57.5,60.1,36.3,True
2005-09-01,2005,9,89.7,62.0,57.8,60.0,37.6,True
2005-10-01,2005,10,86.0,63.1,58.5,61.7,38.9,True
2005-11-01,2005,11,78.7,62.0,62.2,64.4,39.6,True
2005-12-01,2005,12,83.2,63.7,59.2,69.4,42.5,True
2006-01-01,2006,1,85.4,64.7,57.6,73.1,45.6,True
2006-02-01,2006,2,80.3,67.4,59.2,75.6,46.3,True
2006-03-01,2006,3,82.1,66.2,63.4,76.3,47.3,True
2006-04-01,2006,4,91.3,65.8,64.0,87.8,52.9,True
2006-05-01,2006,5,89.9,68.2,61.4,101.3,58.0,True
2006-06-01,2006,6,88.5,65.8,58.6,91.5,50.4,True
2006-07-01,2006,7,94.0,66.9,58.4,97.2,53.3,True
2006-08-01,2006,8,94.7,66.6,60.3,98.0,54.1,True
2006-09-01,2006,9,80.3,66.4,61.0,97.8,51.4,True
2006-10-01,2006,10,77.0,69.3,60.1,101.7,50.3,True
2006-11-01,2006,11,79.2,72.6,62.7,101.1,54.4,True
2006-12-01,2006,12,82.2,72.9,66.4,101.8,54.8,True
2007-01-01,2007,1,73.6,73.5,68.4,96.8,54.5,True
2007-02-01,2007,2,79.1,75.9,73.8,98.7,57.7,True
