feature,coefficient,abs_coefficient
energy_change_pct,0.0715023551646837,0.0715023551646837
energy_volatility_3m_pct,0.040270494741348854,0.040270494741348854
food_change_pct,0.018202172494137026,0.018202172494137026
fertilizers_change_pct,0.01785407764204098,0.01785407764204098
food_volatility_3m_pct,0.009130178525202145,0.009130178525202145
precious_metals_change_pct,0.0024070752572013026,0.0024070752572013026
metals_minerals_change_pct,-0.034073322502701814,0.034073322502701814
precious_metals_volatility_3m_pct,-0.047353122589175956,0.047353122589175956
fertilizers_volatility_3m_pct,-0.06788869672102231,0.06788869672102231
metals_minerals_volatility_3m_pct,-0.09495142509442303,0.09495142509442303
