feature_set,log_conflict,architecture,learning_rate,epoch,train_loss,validation_loss
baseline,False,32,0.001,1,0.6630103317896525,0.6308659315109253
baseline,False,32,0.001,2,0.625834000993658,0.5942614674568176
baseline,False,32,0.001,3,0.5852183837360806,0.5536389350891113
baseline,False,32,0.001,4,0.5381548328752871,0.5097815990447998
baseline,False,32,0.001,5,0.4846547106460289,0.4620252847671509
baseline,False,32,0.001,6,0.42769035551283097,0.4136491119861603
baseline,False,32,0.001,7,0.3725559013861197,0.3697057366371155
baseline,False,32,0.001,8,0.32378706168245386,0.33354929089546204
baseline,False,32,0.001,9,0.2841086104622594,0.3054310977458954
baseline,False,32,0.001,10,0.2541674905794638,0.28409871459007263
baseline,False,32,0.001,11,0.2323710834759253,0.26928067207336426
baseline,False,32,0.001,12,0.21686077921478836,0.2586679458618164
baseline,False,32,0.001,13,0.20598865685639559,0.2506607472896576
baseline,False,32,0.001,14,0.19813131352265675,0.24565312266349792
baseline,False,32,0.001,15,0.192499361899164,0.241002157330513
baseline,False,32,0.001,16,0.1882211959141272,0.2379448264837265
baseline,False,32,0.001,17,0.18497947282261318,0.23562167584896088
baseline,False,32,0.001,18,0.18240083509021335,0.23336118459701538
baseline,False,32,0.001,19,0.18026640404153754,0.23152469098567963
baseline,False,32,0.001,20,0.1784559433327781,0.2292145937681198
baseline,False,32,0.001,21,0.17683306813240052,0.2274697870016098
baseline,False,32,0.001,22,0.17538535681035783,0.22584591805934906
baseline,False,32,0.001,23,0.17402015900170362,0.2233887016773224
baseline,False,32,0.001,24,0.17273618232320856,0.22178608179092407
baseline,False,32,0.001,25,0.1715141507210555,0.22078371047973633
baseline,False,32,0.001,26,0.17032797811207948,0.21872417628765106
baseline,False,32,0.001,27,0.1691620789192341,0.21704530715942383
baseline,False,32,0.001,28,0.16804618431462182,0.21516989171504974
baseline,False,32,0.001,29,0.16693600120367827,0.21347159147262573
baseline,False,32,0.001,30,0.16585693441055438,0.21270978450775146
baseline,False,32,0.001,31,0.16479211295092547,0.21027402579784393
baseline,False,32,0.001,32,0.1637620034041228,0.20853298902511597
baseline,False,32,0.001,33,0.16271788197535056,0.2075827717781067
baseline,False,32,0.001,34,0.16173508136360734,0.20562385022640228
baseline,False,32,0.001,35,0.16078288793563844,0.20465850830078125
baseline,False,32,0.001,36,0.15989374973155834,0.2031337171792984
baseline,False,32,0.001,37,0.15904228788835031,0.20090468227863312
baseline,False,32,0.001,38,0.1581983001364602,0.2004709243774414
baseline,False,32,0.001,39,0.15732518902531376,0.19890539348125458
baseline,False,32,0.001,40,0.15657025354879875,0.19742362201213837
baseline,False,32,0.001,41,0.1558342808705789,0.1983281970024109
baseline,False,32,0.001,42,0.15503915612344388,0.1953602433204651
baseline,False,32,0.001,43,0.15431615083305925,0.1951548010110855
baseline,False,32,0.001,44,0.153609340455797,0.1940055638551712
baseline,False,32,0.001,45,0.15295400628337152,0.19268175959587097
baseline,False,32,0.001,46,0.1522637837021439,0.19249852001667023
baseline,False,32,0.001,47,0.15163849497282947,0.1921100914478302
baseline,False,32,0.001,48,0.15101863611627508,0.19109907746315002
baseline,False,32,0.001,49,0.1504234422136236,0.19058306515216827
baseline,False,32,0.001,50,0.14984166589048173,0.1894751340150833
baseline,False,32,0.001,51,0.14919957419236501,0.19037793576717377
baseline,False,32,0.001,52,0.1486145482019142,0.18889294564723969
baseline,False,32,0.001,53,0.1480387614612226,0.18867512047290802
baseline,False,32,0.001,54,0.14739118342046384,0.1892765909433365
baseline,False,32,0.001,55,0.1468107580476337,0.18756181001663208
baseline,False,32,0.001,56,0.14634267290433248,0.18730802834033966
baseline,False,32,0.001,57,0.14573926228064077,0.18626870214939117
baseline,False,32,0.001,58,0.1452169105300197,0.18590174615383148
baseline,False,32,0.001,59,0.14469764638830115,0.18611596524715424
baseline,False,32,0.001,60,0.14420182861663677,0.1856963038444519
baseline,False,32,0.001,61,0.14370806550538098,0.18484137952327728
baseline,False,32,0.001,62,0.14330805729936671,0.18511523306369781
baseline,False,32,0.001,63,0.14288567160014753,0.184801384806633
baseline,False,32,0.001,64,0.142563971777757,0.18379631638526917
baseline,False,32,0.001,65,0.14208467779336154,0.18376196920871735
baseline,False,32,0.001,66,0.1418719767861896,0.1847086250782013
baseline,False,32,0.001,67,0.14180072568081042,0.18172413110733032
baseline,False,32,0.001,68,0.14103916307290396,0.1838761270046234
baseline,False,32,0.001,69,0.14082373877366383,0.182150200009346
baseline,False,32,0.001,70,0.14045275054596087,0.18173743784427643
baseline,False,32,0.001,71,0.1402222733365165,0.18191245198249817
baseline,False,32,0.001,72,0.13991727266046736,0.18144696950912476
baseline,False,32,0.001,73,0.13965234652713493,0.181129589676857
baseline,False,32,0.001,74,0.13940935059829995,0.18073447048664093
baseline,False,32,0.001,75,0.13913203451368544,0.18043403327465057
baseline,False,32,0.001,76,0.138920541063503,0.18027690052986145
baseline,False,32,0.001,77,0.13866916989838635,0.18019293248653412
baseline,False,32,0.001,78,0.13845006783803304,0.1802477091550827
baseline,False,32,0.001,79,0.13832757656221037,0.18016912043094635
baseline,False,32,0.001,80,0.13809330688582527,0.1798119843006134
baseline,False,32,0.001,81,0.13795529676808252,0.17937791347503662
baseline,False,32,0.001,82,0.13794441992485965,0.18020714819431305
baseline,False,32,0.001,83,0.13775227197894344,0.17851412296295166
baseline,False,32,0.001,84,0.13739627986042588,0.17994554340839386
baseline,False,32,0.001,85,0.13726968923100719,0.17916429042816162
baseline,False,32,0.001,86,0.1370140724711948,0.17895901203155518
baseline,False,32,0.001,87,0.13711410919825237,0.1781870722770691
baseline,False,32,0.001,88,0.13679965319456877,0.1796632707118988
baseline,False,32,0.001,89,0.13655903581115936,0.1781461387872696
baseline,False,32,0.001,90,0.1365660063867216,0.17797070741653442
baseline,False,32,0.001,91,0.13632186181015438,0.17896129190921783
baseline,False,32,0.001,92,0.13612456485077187,0.17799952626228333
baseline,False,32,0.001,93,0.1360081422328949,0.1777074784040451
baseline,False,32,0.001,94,0.1358687052903352,0.17768144607543945
baseline,False,32,0.001,95,0.13570390306137226,0.17758138477802277
baseline,False,32,0.001,96,0.13559507548809052,0.17777948081493378
baseline,False,32,0.001,97,0.1354522940074956,0.17770880460739136
baseline,False,32,0.001,98,0.1353050144734206,0.1776912808418274
baseline,False,32,0.001,99,0.13520937234163286,0.17696316540241241
baseline,False,32,0.001,100,0.13504744225078158,0.17698851227760315
